Title,Date,Size,Location,Description,Price
Find an apartment to buy in Triangle d'Or...,Published 2 day ago,"3 bedrooms, 324 m²","Racine in
	 					Casablanca","unique opportunity in this apartment for sale. price 5,000,000 dh. 3 living areas, 2 bathrooms, area 324 m². 3 rooms. good condition. with lift, parking spaces for cars.

this apartment is offered for
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">5,000,000 DH
					</span>"
Fabulous apartment for sale in Gauthier...,Published 2 day ago,"1 bedroom, 54 m²","Gauthier in
	 					Casablanca","ideal apartment for sale. price 1,230,000 dh. 2 living areas, 1 bathroom, area 54 m². 1 bedroom. good condition. well-equipped residence with parking spaces and lift.

come and check out this apartment for
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,230,000 DH
					</span>"
Blue Skies,,,Riviera in Casablanca,"whether you are a young worker, investor or simply looking for your future home in casablanca, the studio blue skies project offers properties that meet all your expectations

more than a simple project, blue skies will meet all your expectations, in terms of location,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>861,000 DH
					</span>"
Fabulous house for sale in Californie. 5...,Published 4 day ago,"5 bedrooms, 2000 m²","Californie in
   					Casablanca","very nice villa for sale combining luxury and comfort. price 28,000,000 dh. 8 living areas, 5 bathrooms, area 2000 m². 5 rooms. less than 10 years. due for reform. floor type: marble. you will have a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">28,000,000 DH
					</span>"
High quality house for sale in CIL (Hay S...,Published 4 day ago,"4 bedrooms, 480 m²","CIL (Hay Salam) in
   					Casablanca","exceptional villa for sale. price 9,200,000 dh. 6 living areas, 4 bathrooms, 480 m². 4 rooms. less than 30 years. due for reform. covering: marble. garden and terrace suitable for relaxation.

come and
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">9,200,000 DH
					</span>"
Apartment for sale in Gauthier. 3 lovely...,Published 4 day ago,"3 bedrooms, 270 m²","Gauthier in
   					Casablanca","amazing deal on this apartment for sale. price 4,500,000 dh. 3 rooms, 3 bathrooms, 270 m². 5 rooms. 3rd storey. less than 10 years. covering: wooden. no lift, balcony.

ideal if you want to buy an
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,500,000 DH
					</span>"
Apartment for sale in Ain Chock. 3 lovely...,Published 4 day ago,"3 bedrooms, 101 m²","Ain Chock in
   					Casablanca","amazing deal on this apartment for sale. price 1,000,000 dh. 3 living areas, 2 private bathrooms, 101 m². 3 bedrooms. 3rd storey. less than 30 years. floor type: tiled. traditional decor with beautiful
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,000,000 DH
					</span>"
High quality house for sale in Polo. Surf...,Published 4 day ago,"4 bedrooms, 480 m²","Polo in
   					Casablanca","refinement and comfort with this villa for sale. price 4,700,000 dh. 4 rooms, 2 bathrooms, area 480 m². 6 rooms. less than 10 years. covering: marble. secured residence with reinforced door. the property
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,700,000 DH
					</span>"
Sale of a lovely apartment in Ain Diab. 3...,Published 4 day ago,"3 bedrooms, 118 m²","Ain Diab in
   					Casablanca","lovely apartment for sale. price 3,000,000 dh. 3 living areas, 2 bathrooms, area 118 m². 3 bedrooms. 2nd level. less than 10 years. covering: marble. residence perfectly equipped with lift and carpark you
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,000,000 DH
					</span>"
Apartment for sale in Ferme Bretonne (Hay...,Published 4 day ago,"2 bedrooms, 86 m²","Ferme Bretonne (Hay Arraha) in
   					Casablanca","buy your apartment. price 1,500,000 dh. 2 rooms, 2 bathrooms, area 86 m². 3 rooms. 2nd ground floor. less than 1 year. floor type: marble. attic.

this apartment is for sale in ferme bretonne (hay
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,500,000 DH
					</span>"
Apartment for rent in Casablanca Finance...,Published 4 day ago,"1 bedroom, 48 m²","Maârif Extension in
   					Casablanca","apartment for rent to grab. price 10,500 dh. 2 rooms, 2 bathrooms, 90 m². 3 rooms. 7th property storey. less than 1 year. covering: marble. has a terrace, elevator and parking spaces.

this apartment is
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">950,000 DH
					</span>"
Sale of a lovely apartment in Les Hôpitau...,Published 4 day ago,"1 bedroom, 53 m²","Les Hôpitaux in
   					Casablanca","don't miss out on this apartment for sale. price 930,000 dh. 2 living areas, 1 bathroom, area 53 m². 1 bedroom. 4th property storey. less than 1 year. covering: marble. fully furnished property.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">930,000 DH
					</span>"
Find an apartment to buy in Ferme Bretonn...,Published 4 day ago,"3 bedrooms, 115 m²","Ferme Bretonne (Hay Arraha) in
   					Casablanca","lovely apartment for sale. price 2,200,000 dh. 3 rooms, 2 bathrooms, area 115 m². 4 rooms. 2nd storey. less than 1 year. covering: marble. secured door, general satellite dish, secured neighbourhood.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,200,000 DH
					</span>"
Apartment for rent in Racine. Area of 210...,Published 4 day ago,"3 bedrooms, 124 m²","Gauthier in
   					Casablanca","don't miss out on this apartment for sale. price 2,330,000 dh. 4 living areas, 2 private bathrooms, 124 m². 3 rooms. 3rd ground floor. less than 10 years. covering: wooden. usable fireplace, caretaker
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,330,000 DH
					</span>"
Fabulous villa for sale in Polo. 5 rooms...,Published 4 day ago,"5 bedrooms, 875 m²","Polo in
   					Casablanca","superb benefits with this villa for sale. price 8,000,000 dh. 7 living areas, 5 bathrooms, area 875 m². 5 rooms. less than 20 years. floor type: tiled. the property is fully furnished.

this beautiful
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,000,000 DH
					</span>"
Luxury villa for sale in Laymoune. 5 comf...,Published 4 day ago,"4 bedrooms, 486 m²","Laymoune in
   					Casablanca","superb benefits with this villa for sale. price 4,300,000 dh. 4 bedrooms, 4 bathrooms, 486 m². 5 rooms. less than 10 years. floor type: marble. traditional decor with beautiful moroccan living room. the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,300,000 DH
					</span>"
Sell apartment in Casablanca Finance City...,Published 4 day ago,"2 bedrooms, 100 m²","Casablanca Finance City in
   					Casablanca","amazing deal on this apartment for sale. price 2,700,000 dh. 3 living areas, 2 private bathrooms, 100 m². 2 rooms. 5th storey. less than 1 year. covering: marble. enjoy absolute peace and quiet with double
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,700,000 DH
					</span>"
Magnificent villa for sale in Californie...,Published 4 day ago,"4 bedrooms, 464 m²","Californie in
   					Casablanca","luxury amenities with this villa for sale. price 8,200,000 dh. 4 rooms, 4 bathrooms, area 464 m². 6 rooms. less than 10 years. covering: marble. comfort and tradition with a beautiful moroccan living room.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,200,000 DH
					</span>"
High quality villa for sale in Californie...,Published 4 day ago,"4 bedrooms, 622 m²","Californie in
   					Casablanca","refinement and comfort with this villa for sale. price 11,000,000 dh. 6 living areas, 4 bathrooms, area 622 m². 4 rooms. less than 10 years. covering: marble. robust door, traditional living room, general
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">11,000,000 DH
					</span>"
Apartment for sale in Maârif Extension. 4...,Published 4 day ago,"3 bedrooms, 105 m²","Maârif Extension in
   					Casablanca","buy your apartment. price 1,800,000 dh. 4 living areas, 1 bathroom, area 105 m². 3 rooms. 3rd on the first floor. less than 5 years. covering: tiled. furnished.

this apartment is offered for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,800,000 DH
					</span>"
Apartment to purchase in Val Fleury. Surf...,Published 4 day ago,"2 bedrooms, 135 m²","Val Fleury in
   					Casablanca","get a great deal by buying this apartment. price 1,900,000 dh. 2 rooms, 2 bathrooms, area 135 m². 4 rooms. good condition. robust door, traditional moroccan living room, general satellite dish system,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,900,000 DH
					</span>"
Find an apartment to buy in Racine Extens...,Published 4 day ago,"3 bedrooms, 159 m²","Racine Extension in
   					Casablanca","ideal apartment for sale. price 2,350,000 dh. 3 rooms, 2 bathrooms, area 159 m². 4 rooms. 3rd property storey. less than 20 years. floor type: marble. robust door, on site security.

come and check out
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,350,000 DH
					</span>"
Beautiful apartment for sale in Belvédère...,Published 4 day ago,"2 bedrooms, 158 m²","Belvédère in
   					Casablanca","don't miss out on this apartment for sale. price 1,370,000 dh. 2 rooms, 2 bathrooms, area 158 m². 3 rooms. 2nd ground floor. less than 30 years. covering: tiled. comfort and security with central heating
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,370,000 DH
					</span>"
Fabulous villa for sale in CIL (Hay Salam...,Published 4 day ago,"4 bedrooms, 583 m²","CIL (Hay Salam) in
   					Casablanca","refinement and comfort with this villa for sale. price 15,000,000 dh. 8 living areas, 4 rooms, 3 bathrooms, area 583 m². less than 5 years. floor type: marble. central air conditioning.

come and check out
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,000,000 DH
					</span>"
Fabulous villa for sale in Ain Diab. Smal...,Published 4 day ago,"4 bedrooms, 425 m²","Ain Diab in
   					Casablanca","luxury villa for sale. price 6,800,000 dh. 9 living areas including 4 rooms, 3 bathrooms, 425 m². less than 10 years. floor type: marble. the exterior consists of a garden and a terrace.

this beautiful
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,800,000 DH
					</span>"
Luxury home for sale in Californie. Total...,Published 4 day ago,"4 bedrooms, 648 m²","Californie in
   					Casablanca","refinement and comfort with this villa for sale. price 8,700,000 dh. 8 living areas, 4 rooms, 4 bathrooms, 648 m². less than 10 years. covering: marble. garden and terrace suitable for relaxation.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,700,000 DH
					</span>"
High quality house for sale in Ain Diab...,Published 4 day ago,"4 bedrooms, 400 m²","Ain Diab in
   					Casablanca","luxury amenities with this villa for sale. price 7,000,000 dh. 8 living areas, 4 bedrooms, 3 bathrooms, floor area 400 m². less than 10 years. floor type: marble. the exterior consists of a garden and a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,000,000 DH
					</span>"
Fabulous house for sale in CIL (Hay Salam...,Published 4 day ago,"4 bedrooms, 460 m²","CIL (Hay Salam) in
   					Casablanca","superb benefits with this villa for sale. price 7,500,000 dh. 6 living areas, 4 rooms, 2 bathrooms, area 460 m². less than 10 years. covering: marble. green areas, balcony.

this beautiful villa is for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,500,000 DH
					</span>"
Apartment for sale in Ain Diab. 3 lovely...,Published 2 day ago,"3 bedrooms, 321 m²","Ain Diab in
	 					Casablanca","don't miss out on this apartment for sale. price 7,800,000 dh. 3 bedrooms, 2 bathrooms, 321 m². 4 rooms. good condition. large swimming pool, general air conditioning.

this apartment is for sale in ain
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">7,800,000 DH
					</span>"
Sell apartment in Triangle d'Or. Area 132...,Published 2 day ago,"2 bedrooms, 132 m²","Racine in
	 					Casablanca","look over this apartment for sale. price 2,500,000 dh. 2 rooms, 2 bathrooms, 132 m². you will enjoy a beautiful terrace and a carpark.

ideal if you want to buy an apartment in racine,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,500,000 DH
					</span>"
Splendid villa for sale in Ain Diab. 4 ro...,Published 2 day ago,"4 bedrooms, 350 m²","Ain Diab in
	 					Casablanca","very nice villa for sale combining luxury and comfort. price 7,650,000 dh. 4 bedrooms, 3 bathrooms, 350 m². residence with swimming pool, integrated air conditioning.

come and check out this villa
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">7,650,000 DH
					</span>"
Apartment to purchase in Ain Diab. 3 love...,Published 2 day ago,"3 bedrooms, 240 m²","Ain Diab in
	 					Casablanca","get a great deal by buying this apartment. price 5,200,000 dh. 3 living areas, 3 rooms, 2 bathrooms, 240 m². good condition. cellar, large terrace.

come and check out this apartment for sale in ain
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">4,600,000 DH
					</span>"
Apartment to purchase in Racine. 4 beauti...,Published 2 day ago,"4 bedrooms, 337 m²","Racine in
	 					Casablanca","look over this apartment for sale. price 4,600,000 dh. 4 living areas, 3 bathrooms, area 337 m². 4 rooms. good condition. you will enjoy a beautiful terrace and a carpark.

come and check out this
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">4,600,000 DH
					</span>"
Fabulous apartment for sale in Californie...,Published 2 day ago,"2 bedrooms, 84 m²","Californie in
	 					Casablanca","don't miss out on this apartment for sale. price 1,501,000 dh. 3 living areas, 1 bathroom, area 84 m². 2 rooms. 4th storey. new. well equipped kitchen.

this apartment is offered for sale in californie,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,501,000 DH
					</span>"
Apartment to purchase in Oulfa. 3 beautif...,Published 2 day ago,"2 bedrooms, 98 m²","Oulfa in
	 					Casablanca","amazing deal on this apartment for sale. price 1,420,000 dh. 4 living areas with 2 rooms, 1 bathroom, 98 m². 4th property storey. less than 1 year. floor type: marble. satellite dish.

this apartment is
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,372,000 DH
					</span>"
Sell apartment in Palmier. Surface area 1...,Published 3 day ago,"2 bedrooms, 140 m²","Palmier in
	 					Casablanca","amazing deal on this apartment for sale. price 1,690,000 dh. 2 rooms, 2 bathrooms, area 140 m². 2 rooms. 2nd storey. less than 20 years. covering: marble. lift.

come and check out this apartment for sale
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,690,000 DH
					</span>"
Villa Garden,,,Dar Bouazza,"villa garden is the opportunity to build your future.

villa garden is an allotment project for villas in r 1 located in dar bouazza, accessible from the road to azemmour and a few minutes from downtown casablanca, the project offers lots of land for semi-detached villas
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>1,480,000 DH
					</span>"
High quality house for sale in Anfa. 8 ro...,Published 4 day ago,"4 bedrooms, 593 m²","Anfa in
   					Casablanca","luxury amenities with this villa for sale. price 8,900,000 dh. 8 living areas, 4 bedrooms, 3 bathrooms, floor area 593 m². less than 10 years. floor type: marble. garden and terrace suitable for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,900,000 DH
					</span>"
Luxury home for sale. 8 Rooms. Swimming p...,Published 4 day ago,"4 bedrooms, 545 m²","Ain Diab in
   					Casablanca","exceptional villa for sale. price 7,500,000 dh. 8 living areas, 4 rooms, 3 bathrooms, 545 m². less than 10 years. covering: marble. green area.

this beautiful villa is for sale in ain diab, casablanca.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,500,000 DH
					</span>"
High quality villa for sale in Ain Diab...,Published 4 day ago,"4 bedrooms, 360 m²","Ain Diab in
   					Casablanca","refinement and comfort with this villa for sale. price 6,500,000 dh. 8 living areas, 4 bedrooms, 2 bathrooms, floor area 360 m². less than 5 years. floor type: marble. green area.

this beautiful villa is
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,500,000 DH
					</span>"
High quality villa for sale in El Manar -...,Published 4 day ago,"4 bedrooms, 589 m²","El Manar - El Hank in
   					Casablanca","high quality amenities with this beautiful house for sale. price 8,700,000 dh. 10 living areas, 4 rooms, 3 bathrooms, area 589 m². less than 10 years. covering: marble. green areas, balcony.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,700,000 DH
					</span>"
Luxury Villa for sale. 4 Dormitory. Green...,Published 4 day ago,"4 bedrooms, 360 m²","CIL (Hay Salam) in
   					Casablanca","very nice villa for sale combining luxury and comfort. price 7,000,000 dh. 8 living areas, 4 rooms, 3 bathrooms, 360 m². less than 20 years. covering: marble. garden.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,000,000 DH
					</span>"
High quality house for sale. 7 Living roo...,Published 4 day ago,"4 bedrooms, 450 m²","Ain Diab in
   					Casablanca","luxury amenities with this villa for sale. price 7,000,000 dh. 7 living areas, 4 rooms, 3 bathrooms, area 450 m². less than 10 years. floor type: marble. gardeners.

come and check out this villa without
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,000,000 DH
					</span>"
High quality house for sale. 4 Dormitory...,Published 4 day ago,"4 bedrooms, 1017 m²","Anfa in
   					Casablanca","high quality amenities with this beautiful house for sale. price 16,000,000 dh. 4 bedrooms, 3 bathrooms, 1017 m². 8 rooms. less than 20 years. due for reform. covering: tiled. garden.

this beautiful villa
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">16,000,000 DH
					</span>"
Luxury villa for sale. Area of 417 m². Gr...,Published 4 day ago,"3 bedrooms, 417 m²","Oasis in
   					Casablanca","luxury villa for sale. price 5,500,000 dh. 6 living areas, 3 bedrooms, 2 bathrooms, floor area 417 m². less than 20 years. due for reform. floor type: tiled. garden.

come and check out this villa without
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">5,500,000 DH
					</span>"
Fabulous house for sale. Total area 525 m...,Published 4 day ago,"3 bedrooms, 525 m²","Polo in
   					Casablanca","luxury villa for sale. price 5,800,000 dh. 8 living areas, 3 rooms, 2 bathrooms, area 525 m². less than 20 years. due for reform. covering: tiled. green area.

this beautiful villa is for sale in polo,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">5,800,000 DH
					</span>"
Fabulous villa for sale. 4 Room. Garden,Published 4 day ago,"4 bedrooms, 380 m²","Polo in
   					Casablanca","high quality amenities with this beautiful house for sale. price 6,000,000 dh. 8 living areas, 4 rooms, 3 bathrooms, 380 m². less than 10 years. floor type: marble. green area.

this beautiful villa is for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,000,000 DH
					</span>"
Luxury home for sale. 7 Common room. Gree...,Published 4 day ago,"4 bedrooms, 350 m²","Ain Diab in
   					Casablanca","exceptional villa for sale. price 5,800,000 dh. 7 living areas, 4 bedrooms, 3 bathrooms, floor area 350 m². less than 10 years. covering: marble. green area.

this beautiful villa is for sale in ain diab,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">5,800,000 DH
					</span>"
High quality house for sale. 7 Living roo...,Published 4 day ago,"3 bedrooms, 665 m²","Polo in
   					Casablanca","luxury amenities with this villa for sale. price 7,000,000 dh. 7 living areas including 3 rooms, 2 bathrooms, 665 m². less than 20 years. due for reform. covering: tiled. green area.

this beautiful villa
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,000,000 DH
					</span>"
Splendid villa for sale. Total area 400 m...,Published 4 day ago,"4 bedrooms, 400 m²","Anfa in
   					Casablanca","high - end amenities with this villa for sale. price 6,500,000 dh. 8 living areas, 4 bedrooms, 2 bathrooms, floor area 400 m². less than 20 years. floor type: marble. garden.

this beautiful villa is for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,500,000 DH
					</span>"
Luxury villa for sale. 4 Master bedroom...,Published 4 day ago,"4 bedrooms, 435 m²","CIL (Hay Salam) in
   					Casablanca","exceptional villa for sale. price 9,000,000 dh. 7 living areas, 4 bedrooms, 2 bathrooms, floor area 435 m². less than 20 years. due for reform. covering: tiled. gardeners.

this beautiful villa is for sale
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">9,000,000 DH
					</span>"
Splendid villa for sale. 4 Dormitory. Res...,Published 4 day ago,"4 bedrooms, 563 m²","Oasis in
   					Casablanca","luxury villa for sale. price 8,500,000 dh. 7 living areas, 4 rooms, 3 bathrooms, 563 m². less than 5 years. floor type: marble. swimming pool.

this beautiful villa is for sale in oasis, casablanca.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">8,500,000 DH
					</span>"
High quality villa for sale. 4 Hall. Gard...,Published 4 day ago,"4 bedrooms, 400 m²","Polo in
   					Casablanca","very nice villa for sale combining luxury and comfort. price 6,700,000 dh. 7 living areas, 4 rooms, 2 bathrooms, 400 m². less than 20 years. covering: marble. green area.

come and check out this villa
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,700,000 DH
					</span>"
Luxury home for sale in Californie. 14 To...,Published 4 day ago,"4 bedrooms, 2625 m²","Californie in
   					Casablanca","luxury amenities with this villa for sale. price 27,000,000 dh. 14 living areas, 4 rooms, 4 bathrooms, 2625 m². less than 5 years. floor type: marble.

this beautiful villa is for sale in californie,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">27,000,000 DH
					</span>"
High quality villa for sale in Longchamps...,Published 4 day ago,"4 bedrooms, 733 m²","Longchamps (Hay Al Hanâa) in
   					Casablanca","exceptional villa for sale. price 15,000,000 dh. 7 living areas, 4 rooms, 3 bathrooms, 733 m². less than 5 years. floor type: marble. residence with swimming pool.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,000,000 DH
					</span>"
Luxury villa for sale in Longchamps (Hay...,Published 4 day ago,"4 bedrooms, 865 m²","Longchamps (Hay Al Hanâa) in
   					Casablanca","high quality amenities with this beautiful house for sale. price 11,500,000 dh. 7 living areas including 4 rooms, 2 bathrooms, 865 m². less than 20 years. due for reform. covering: tiled.

this beautiful
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">11,500,000 DH
					</span>"
Luxury villa for sale in Californie. Smal...,Published 4 day ago,"4 bedrooms, 855 m²","Californie in
   					Casablanca","refinement and comfort with this villa for sale. price 10,000,000 dh. 9 living areas including 4 rooms, 3 bathrooms, 855 m². less than 10 years. floor type: marble. garden.

this beautiful villa is for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">10,000,000 DH
					</span>"
Splendid villa for sale. 6 comfortable ro...,Published 4 day ago,"2 bedrooms, 400 m²","Longchamps (Hay Al Hanâa) in
   					Casablanca","exceptional villa for sale. price 7,500,000 dh. 6 living areas including 2 rooms, 2 bathrooms, 400 m². less than 20 years. due for reform. covering: tiled. gardeners.

come and check out this villa without
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,500,000 DH
					</span>"
Magnificent villa for sale. 4 rooms,Published 4 day ago,"4 bedrooms, 733 m²","Oasis in
   					Casablanca","superb benefits with this villa for sale. price 13,000,000 dh. 8 living areas, 4 rooms, 2 bathrooms, area 733 m². less than 20 years. due for reform. covering: tiled.

come and check out this villa without
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">13,000,000 DH
					</span>"
Splendid villa for sale. Dimension 375 m²...,Published 4 day ago,"3 bedrooms, 375 m²","CIL (Hay Salam) in
   					Casablanca","high quality amenities with this beautiful house for sale. price 6,800,000 dh. 7 living areas including 3 rooms, 2 bathrooms, 375 m². less than 20 years. due for reform. covering: tiled. green area.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,800,000 DH
					</span>"
High quality villa for sale. Area of 1 62...,Published 4 day ago,"4 bedrooms, 1622 m²","Oasis in
   					Casablanca","luxury villa for sale. price 30,000,000 dh. 7 living areas, 4 rooms, 2 bathrooms, 1622 m². less than 20 years. covering: tiled. green area.

this beautiful villa is for sale in oasis, casablanca.

nearby:
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">30,000,000 DH
					</span>"
High quality house for sale. 8 Cabinet,Published 4 day ago,"4 bedrooms, 1025 m²","Anfa in
   					Casablanca","high - end amenities with this villa for sale. price 18,000,000 dh. 8 living areas, 4 rooms, 2 bathrooms, 1025 m². less than 20 years. covering: tiled.

this beautiful villa is for sale in anfa,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">18,000,000 DH
					</span>"
Sale of a lovely apartment in Ain Borja...,Published 3 day ago,"2 bedrooms, 68 m²","Ain Borja in
	 					Casablanca","amazing deal on this apartment for sale. price 826,700 dh. 2 rooms, 2 bathrooms, 68 m². 2 rooms. less than 1 year. comfort and tradition with a beautiful moroccan living room. the residence is
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">826,700 DH
					</span>"
Sale of a lovely apartment in Californie...,Published 3 day ago,"3 bedrooms, 111 m²","Californie in
	 					Casablanca","amazing deal on this apartment for sale. price 1,823,000 dh. 3 rooms, 1 bathroom, area 111 m². 4 rooms. 1st on the first floor. new. built-in oven.

this apartment is for sale in californie, casablanca.
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,823,000 DH
					</span>"
Apartment to purchase in Californie. 3 ro...,Published 3 day ago,"3 bedrooms, 111 m²","Californie in
	 					Casablanca","look over this apartment for sale. price 1,924,000 dh. 3 rooms, 2 bathrooms, area 111 m². 4 rooms. 4th storey. new. fitted kitchen.

this apartment is offered for sale in californie, casablanca.
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,924,000 DH
					</span>"
Sale of a lovely apartment in Californie...,Published 3 day ago,"3 bedrooms, 115 m²","Californie in
	 					Casablanca","don't miss out on this apartment for sale. price 1,967,000 dh. 4 living areas, 1 bathroom, area 115 m². 3 bedrooms. 4th ground floor. new. built-in oven.

this apartment is offered for sale in
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,967,000 DH
					</span>"
Luxury Villa for sale in Sidi Maarouf. La...,Published 3 day ago,"5 bedrooms, 450 m²","Californie in
	 					Casablanca","superb benefits with this villa for sale. price 7,850,000 dh. 5 rooms, 4 bathrooms, area 450 m². 8 rooms. less than 20 years. covering: marble. robust door, on-site security, secured neighbourhood.

this
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">7,850,000 DH
					</span>"
Apartment to purchase in Laymoune. 3 larg...,Published 3 day ago,"2 bedrooms, 90 m²","Casablanca Finance City in
	 					Casablanca","unique opportunity in this apartment for sale. price 1,240,000 dh. 2 rooms, 1 bathroom, area 90 m². 3 rooms. 5th storey. less than 1 year. floor type: marble. new furniture.

this apartment is for sale in
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,240,000 DH
					</span>"
House for sale in Anfa. 15 lovely rooms...,Published 3 day ago,"15 bedrooms, 1250 m²","Anfa in
	 					Casablanca","find out about this house for sale. 15 rooms, 7 bathrooms, area 1250 m². 18 rooms. less than 10 years. floor type: tiled.

this house is for sale in anfa. enjoy the comfort of the air conditioning. the
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
							Price on request
						
					</span>"
Luxury home for sale in Ain Diab. Total a...,Published 3 day ago,"4 bedrooms, 486 m²","Ain Diab in
	 					Casablanca","very nice villa for sale combining luxury and comfort. price 8,200,000 dh. 4 bedrooms, 3 bathrooms, 486 m². 7 rooms. less than 10 years. floor type: marble. maximum security with surveillance system and
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">8,200,000 DH
					</span>"
Serenity Square,,,Les princesses in Casablanca,"the project is built in r 5, located in one of the most sought after areas of the city of casablanca, namely maarif on boulevard yacoub mansour, offering high standing studios with an area of 38 m² to 72 m²

the studios offer high-end services combining comfort and luxury
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>870,000 DH
					</span>"
Luxury villa for sale. 7 large rooms. Gre...,Published 4 day ago,"4 bedrooms, 2200 m²","Polo in
   					Casablanca","high quality amenities with this beautiful house for sale. price 23,000,000 dh. 7 living areas including 4 rooms, 3 bathrooms, 2200 m². less than 20 years. due for reform. covering: tiled. green
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">23,000,000 DH
					</span>"
Fabulous house for sale. Area 977 m²,Published 4 day ago,"4 bedrooms, 977 m²","Polo in
   					Casablanca","high - end amenities with this villa for sale. price 13,000,000 dh. 8 living areas, 4 bedrooms, 2 bathrooms, floor area 977 m². less than 20 years. floor type: tiled.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">13,000,000 DH
					</span>"
